CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,03/26/2024 08:00:00 PM,24-010695,VEHICLE THEFT - AUTO,27Y,1431 65TH AV,Oakland,CA,POINT (-122.194136857 37.76314829)
,03/30/2024 07:24:00 PM,24-015921,BATTERY,18Y,2157 E 27TH ST,Oakland,CA,POINT (-122.228738024 37.793846982)
,04/15/2024 09:01:00 PM,24-018934,THEFT,26Y,1260 - 75TH AVE.,Oakland,CA,POINT (-122.186592977 37.75759701)
VANDALISM,04/04/2024 07:34:00 AM,24-016577,VANDALISM (AMENDED),28X,2626 HIGH ST,Oakland,CA,POINT (-122.203392993 37.782657015)
,03/07/2024 11:00:00 AM,24-904892,BURGLARY-AUTO,,8047 SKYLINE BLV BOULEVARD,Oakland,CA,POINT (-122.18761297 37.83678898)
,03/08/2024 03:35:00 AM,24-906156,THEFT BY USE OF ACCESS CARD,06X,3737 MARTIN LUTHER KING JR WAY,Oakland,CA,POINT (-122.269221924 37.826865193)
OTHER,03/15/2024 11:36:00 AM,24-013195,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,31Z,10741 RUSSETT ST,Oakland,CA,POINT (-122.173518968 37.733582984)
VANDALISM,03/08/2024 12:00:00 AM,24-905959,VANDALISM,31Z,433 105TH AV,Oakland,CA,POINT (-122.180461028 37.730158012)
DISORDERLY CONDUCT,02/24/2024 12:25:00 AM,24-009654,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,04X,17TH ST & BROADWAY,Oakland,CA,POINT (-122.269718993 37.806654991)
,03/14/2024 05:00:00 PM,24-013183,VEHICLE THEFT - AUTO,05X,IFO 824 21 ST ST,Oakland,CA,POINT (-122.277248959 37.812611003)
,03/20/2024 11:00:00 PM,24-014280,VEHICLE THEFT - AUTO,19X,IFO 37 8TH AV,Oakland,CA,POINT (-122.258475298 37.786599237)
BURG - COMMERCIAL,03/11/2024 04:42:00 AM,24-012846,BURGLARY-FORCIBLE ENTRY,25X,4215 MACARTHUR BLVD,Oakland,CA,POINT (-122.19590502 37.788144982)
STOLEN VEHICLE,04/07/2024 05:57:00 PM,24-017101,VEHICLE THEFT - AUTO,30X,1435 66TH AV,Oakland,CA,POINT (-122.193153995 37.76304399)
,04/15/2024 10:05:00 AM,24-018450,BURGLARY-FORCIBLE ENTRY,30X,6858 HALLIDAY AV,Oakland,CA,POINT (-122.179664998 37.767666987)
,03/13/2024 06:05:00 PM,24-012876,SC UNEXPLAINED DEATH,02Y,1111 CAMPBELL ST,Oakland,CA,POINT (-122.297008961 37.810197979)
VANDALISM,03/07/2024 03:22:00 PM,24-011833,VANDALISM [UNDER $400],01X,200 4TH ST,Oakland,CA,POINT (-122.269561596 37.795177073)
ROBBERY,05/06/2024 08:58:00 AM,24-022271,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26X,928 HIGH ST,Oakland,CA,POINT (-122.217578248 37.770206215)
,04/08/2024 02:50:00 PM,24-017235,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",32X,102N D AV&INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168380023 37.741520017)
,03/12/2024 11:30:00 PM,24-012720,BATTERY,30Y,2819 82ND AV,Oakland,CA,POINT (-122.164626297 37.762887255)
,04/26/2024 06:15:00 PM,24-022860,BURGLARY-FORCIBLE ENTRY,28X,5329 FLEMING AV,Oakland,CA,POINT (-122.193464042 37.77617399)
,03/21/2024 10:40:00 PM,24-905370,VANDALISM,,14TH ST,Oakland,CA,POINT (-122.270774517 37.804151159)
,04/23/2024 01:57:00 PM,24-020000,VEHICLE THEFT - AUTO,24X,2142 34TH AV,Oakland,CA,POINT (-122.218928012 37.784354979)
,04/02/2024 10:10:00 AM,24-906701,VANDALISM,20X,2897 CHAPMAN ST,Oakland,CA,POINT (-122.233460975 37.773340991)
STOLEN AND RECOVERED VEHICLE,05/03/2024 09:01:00 AM,24-021712,POSS STOLEN VEH/VES/ETC,23X,4251 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.215485984 37.772231981)
